,client_id,age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,age_na,campaign_na,pdays_na,previous_na,emp.var.rate_na,cons.price.idx_na,cons.conf.idx_na,euribor3m_na,nr.employed_na,subscribe
0,29925,42.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.968,5228.1,5.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0
1,37529,35.0,4.0,999.0,0.0,1.4,94.465,-41.8,4.96,5228.1,11.0,2.0,7.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0
2,2757,44.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.264,5099.1,10.0,2.0,3.0,1.0,3.0,3.0,1.0,7.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0
3,9642,45.0,1.0,999.0,0.0,-1.8,93.075,-47.1,1.453,5099.1,8.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0
4,14183,45.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.859,5191.0,12.0,2.0,8.0,2.0,2.0,2.0,2.0,7.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0
5,15180,38.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,10.0,2.0,6.0,1.0,1.0,1.0,2.0,7.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0
6,27168,33.0,1.0,961.4132223063336,1.0,-1.8,93.075,-47.1,1.405,5099.1,10.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1
7,9097,38.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,7.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0
8,30538,29.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.25,5099.1,2.0,3.0,8.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
9,28981,34.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,1.0,1.0,7.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0
10,7989,47.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.961,5228.1,2.0,2.0,4.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0
11,13536,30.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,2.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0
12,24541,30.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.958,5228.1,1.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0
13,6216,35.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.344,5099.1,8.0,2.0,2.0,2.0,3.0,1.0,1.0,7.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0
14,17983,45.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,5.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0,0,0,0,0,0,0,0,0,0,1
15,29394,37.0,2.0,999.0,1.0,-0.1,93.2,-42.0,4.191,5195.8,3.0,2.0,7.0,2.0,3.0,1.0,1.0,8.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0
16,28825,48.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.866,5228.1,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0
17,41,47.0,2.0,999.0,1.0,-1.8,93.075,-47.1,1.41,5099.1,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0
18,7284,35.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,7.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0
19,28502,34.0,3.0,999.0,0.0,-1.8,93.075,-47.1,1.405,5099.1,10.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0
20,11473,60.0,5.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,10.0,2.0,7.0,2.0,3.0,1.0,2.0,7.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0
